Participant,Mode,Route,GlobalTrial,NodeID,IsDecisionNode,EnterTime(s),LeaveTime(s),TimeSpentInNode(s)
P01,SoundOnly,T1,2,B,True,2.46,3.30,0.84
P01,SoundOnly,T4,3,F,True,0.02,1.46,1.44
P01,SoundOnly,T4,3,C,True,3.18,3.56,0.38
P01,SoundOnly,T4,3,B,True,4.24,4.72,0.48
P01,VisualOnly,T2,4,B,True,0.01,2.82,2.81
P01,VisualOnly,T2,4,C,True,3.92,4.58,0.66
P01,VisualOnly,T2,4,D,True,5.36,5.94,0.58
P01,VisualOnly,T1,5,K,True,0.02,1.36,1.34
P01,VisualOnly,T1,5,B,True,2.46,3.30,0.84
P01,VisualOnly,T4,6,F,True,0.02,2.91,2.90
P01,VisualOnly,T4,6,C,True,4.80,5.26,0.46
P01,VisualOnly,T4,6,B,True,5.92,6.74,0.82
P01,VisualOnly,T3,7,L,True,0.02,2.14,2.12
P01,VisualOnly,T3,7,G,True,3.32,4.76,1.44
P01,VisualOnly,T3,7,F,True,5.50,5.98,0.48
P01,SoundAndVisual,T3,8,L,True,0.02,2.28,2.26
P01,SoundAndVisual,T3,8,G,True,3.36,4.98,1.62
P01,SoundAndVisual,T3,8,F,True,5.70,6.14,0.44
P01,SoundAndVisual,T1,9,K,True,0.02,1.36,1.34
P01,SoundAndVisual,T1,9,B,True,2.40,2.86,0.46
P01,SoundAndVisual,T4,10,F,True,0.02,0.82,0.80
P01,SoundAndVisual,T4,10,C,True,2.72,3.20,0.48
P01,SoundAndVisual,T4,10,B,True,3.86,4.30,0.44
P01,SoundAndVisual,T2,11,B,True,0.02,1.66,1.64
P01,SoundAndVisual,T2,11,C,True,2.34,2.94,0.60
P01,SoundAndVisual,T2,11,D,True,3.71,4.30,0.58
P01,SoundOnly,T4,0,F,True,0.00,5.00,5.00
P01,SoundOnly,T4,0,C,True,6.72,7.42,0.70
P01,SoundOnly,T4,0,B,True,8.40,9.36,0.96
P01,SoundOnly,T2,0,B,True,0.00,2.88,2.88
P01,SoundOnly,T2,0,C,True,3.58,4.54,0.96
P01,SoundOnly,T2,0,D,True,5.32,6.12,0.80
P01,SoundOnly,T1,1,K,True,0.01,2.03,2.02
P01,SoundOnly,T1,1,B,True,3.15,4.19,1.04
P01,SoundOnly,T3,2,L,True,0.02,1.42,1.40
